# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Electron Scattering Angle, $\theta_{e}$ (vertex)   
# xbins      : 40   
# xlabel     :  e^{-}$ scattering angle, $\theta_{e}  [deg]   
# xbin_width : 0.250 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.125,0.000,0.250,0.000,0.000
2,0.375,0.250,0.500,0.000,0.000
3,0.625,0.500,0.750,0.000,0.000
4,0.875,0.750,1.000,0.000,0.000
5,1.125,1.000,1.250,0.000,0.000
6,1.375,1.250,1.500,0.000,0.000
7,1.625,1.500,1.750,0.000,0.000
8,1.875,1.750,2.000,0.000,0.000
9,2.125,2.000,2.250,0.000,0.000
10,2.375,2.250,2.500,0.000,0.000
11,2.625,2.500,2.750,0.000,0.000
12,2.875,2.750,3.000,0.000,0.000
13,3.125,3.000,3.250,0.000,0.000
14,3.375,3.250,3.500,0.000,0.000
15,3.625,3.500,3.750,0.000,0.000
16,3.875,3.750,4.000,0.000,0.000
17,4.125,4.000,4.250,0.000,0.000
18,4.375,4.250,4.500,0.000,0.000
19,4.625,4.500,4.750,0.000,0.000
20,4.875,4.750,5.000,0.131,0.082
21,5.125,5.000,5.250,3817.940,156.707
22,5.375,5.250,5.500,7184.548,195.035
23,5.625,5.500,5.750,5385.870,128.054
24,5.875,5.750,6.000,3078.984,69.436
25,6.125,6.000,6.250,1505.930,33.625
26,6.375,6.250,6.500,592.624,13.874
27,6.625,6.500,6.750,215.244,5.099
28,6.875,6.750,7.000,66.110,1.301
29,7.125,7.000,7.250,24.174,0.254
30,7.375,7.250,7.500,9.406,0.079
31,7.625,7.500,7.750,2.734,0.032
32,7.875,7.750,8.000,0.372,0.009
33,8.125,8.000,8.250,0.006,0.001
34,8.375,8.250,8.500,0.000,0.000
35,8.625,8.500,8.750,0.000,0.000
36,8.875,8.750,9.000,0.000,0.000
37,9.125,9.000,9.250,0.000,0.000
38,9.375,9.250,9.500,0.000,0.000
39,9.625,9.500,9.750,0.000,0.000
40,9.875,9.750,10.000,0.000,0.000
