# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X_{fp}   
# xbins      : 60   
# xlabel     :  X_{fp} [cm]   
# xbin_width : 0.833 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.583,-15.000,-14.167,0.000,0.000
2,-13.750,-14.167,-13.333,0.001,0.000
3,-12.917,-13.333,-12.500,0.007,0.001
4,-12.083,-12.500,-11.667,0.048,0.003
5,-11.250,-11.667,-10.833,0.243,0.008
6,-10.417,-10.833,-10.000,0.890,0.019
7,-9.583,-10.000,-9.167,2.544,0.040
8,-8.750,-9.167,-8.333,6.244,0.080
9,-7.917,-8.333,-7.500,13.364,0.145
10,-7.083,-7.500,-6.667,25.097,0.246
11,-6.250,-6.667,-5.833,44.533,0.408
12,-5.417,-5.833,-5.000,74.240,0.650
13,-4.583,-5.000,-4.167,122.429,1.033
14,-3.750,-4.167,-3.333,199.782,1.621
15,-2.917,-3.333,-2.500,325.458,2.502
16,-2.083,-2.500,-1.667,516.358,3.733
17,-1.250,-1.667,-0.833,930.066,6.104
18,-0.417,-0.833,0.000,2195.963,13.116
19,0.417,0.000,0.833,4382.196,31.868
20,1.250,0.833,1.667,6649.516,69.468
21,2.083,1.667,2.500,2770.002,60.276
22,2.917,2.500,3.333,1.264,0.721
23,3.750,3.333,4.167,0.000,0.000
24,4.583,4.167,5.000,0.000,0.000
25,5.417,5.000,5.833,0.000,0.000
26,6.250,5.833,6.667,0.000,0.000
27,7.083,6.667,7.500,0.000,0.000
28,7.917,7.500,8.333,0.000,0.000
29,8.750,8.333,9.167,0.000,0.000
30,9.583,9.167,10.000,0.000,0.000
31,10.417,10.000,10.833,0.000,0.000
32,11.250,10.833,11.667,0.000,0.000
33,12.083,11.667,12.500,0.000,0.000
34,12.917,12.500,13.333,0.000,0.000
35,13.750,13.333,14.167,0.000,0.000
36,14.583,14.167,15.000,0.000,0.000
37,15.417,15.000,15.833,0.000,0.000
38,16.250,15.833,16.667,0.000,0.000
39,17.083,16.667,17.500,0.000,0.000
40,17.917,17.500,18.333,0.000,0.000
41,18.750,18.333,19.167,0.000,0.000
42,19.583,19.167,20.000,0.000,0.000
43,20.417,20.000,20.833,0.000,0.000
44,21.250,20.833,21.667,0.000,0.000
45,22.083,21.667,22.500,0.000,0.000
46,22.917,22.500,23.333,0.000,0.000
47,23.750,23.333,24.167,0.000,0.000
48,24.583,24.167,25.000,0.000,0.000
49,25.417,25.000,25.833,0.000,0.000
50,26.250,25.833,26.667,0.000,0.000
51,27.083,26.667,27.500,0.000,0.000
52,27.917,27.500,28.333,0.000,0.000
53,28.750,28.333,29.167,0.000,0.000
54,29.583,29.167,30.000,0.000,0.000
55,30.417,30.000,30.833,0.000,0.000
56,31.250,30.833,31.667,0.000,0.000
57,32.083,31.667,32.500,0.000,0.000
58,32.917,32.500,33.333,0.000,0.000
59,33.750,33.333,34.167,0.000,0.000
60,34.583,34.167,35.000,0.000,0.000
