# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : x-Bjorken   
# xbins      : 60   
# xlabel     :  x-bjorken, x_{Bj}   
# xbin_width : 0.022 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.511,0.500,0.522,0.000,0.000
2,0.532,0.522,0.543,0.000,0.000
3,0.554,0.543,0.565,0.000,0.000
4,0.576,0.565,0.587,0.000,0.000
5,0.598,0.587,0.608,0.000,0.000
6,0.619,0.608,0.630,0.000,0.000
7,0.641,0.630,0.652,0.000,0.000
8,0.662,0.652,0.673,0.000,0.000
9,0.684,0.673,0.695,0.003,0.001
10,0.706,0.695,0.717,0.013,0.002
11,0.728,0.717,0.738,0.058,0.004
12,0.749,0.738,0.760,0.205,0.009
13,0.771,0.760,0.782,0.548,0.016
14,0.792,0.782,0.803,1.150,0.025
15,0.814,0.803,0.825,1.980,0.037
16,0.836,0.825,0.847,2.963,0.048
17,0.858,0.847,0.868,4.244,0.062
18,0.879,0.868,0.890,5.774,0.077
19,0.901,0.890,0.912,7.848,0.096
20,0.922,0.912,0.933,9.648,0.112
21,0.944,0.933,0.955,11.493,0.129
22,0.966,0.955,0.977,13.418,0.143
23,0.988,0.977,0.998,15.143,0.161
24,1.009,0.998,1.020,16.952,0.192
25,1.031,1.020,1.042,19.320,0.275
26,1.053,1.042,1.063,22.976,0.375
27,1.074,1.063,1.085,26.952,0.554
28,1.096,1.085,1.107,35.379,0.782
29,1.118,1.107,1.128,44.130,1.050
30,1.139,1.128,1.150,50.419,1.218
31,1.161,1.150,1.172,55.307,1.346
32,1.183,1.172,1.193,56.697,1.346
33,1.204,1.193,1.215,47.861,1.079
34,1.226,1.215,1.237,40.927,0.818
35,1.248,1.237,1.258,31.646,0.602
36,1.269,1.258,1.280,24.592,0.432
37,1.291,1.280,1.302,19.215,0.325
38,1.312,1.302,1.323,14.369,0.232
39,1.334,1.323,1.345,11.241,0.173
40,1.356,1.345,1.367,8.212,0.120
41,1.377,1.367,1.388,6.299,0.088
42,1.399,1.388,1.410,4.517,0.062
43,1.421,1.410,1.432,3.325,0.044
44,1.442,1.432,1.453,2.448,0.032
45,1.464,1.453,1.475,1.753,0.023
46,1.486,1.475,1.497,1.241,0.017
47,1.507,1.497,1.518,0.909,0.012
48,1.529,1.518,1.540,0.653,0.009
49,1.551,1.540,1.562,0.467,0.007
50,1.573,1.562,1.583,0.332,0.005
51,1.594,1.583,1.605,0.222,0.004
52,1.616,1.605,1.627,0.154,0.003
53,1.638,1.627,1.648,0.095,0.002
54,1.659,1.648,1.670,0.056,0.001
55,1.681,1.670,1.692,0.030,0.001
56,1.703,1.692,1.713,0.015,0.001
57,1.724,1.713,1.735,0.004,0.000
58,1.746,1.735,1.757,0.001,0.000
59,1.768,1.757,1.778,0.000,0.000
60,1.789,1.778,1.800,0.000,0.000
