# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X_{fp}   
# xbins      : 60   
# xlabel     :  X_{fp} [cm]   
# xbin_width : 0.500 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.750,-15.000,-14.500,0.000,0.000
2,-14.250,-14.500,-14.000,0.000,0.000
3,-13.750,-14.000,-13.500,0.000,0.000
4,-13.250,-13.500,-13.000,0.000,0.000
5,-12.750,-13.000,-12.500,0.000,0.000
6,-12.250,-12.500,-12.000,0.000,0.000
7,-11.750,-12.000,-11.500,0.000,0.000
8,-11.250,-11.500,-11.000,0.000,0.000
9,-10.750,-11.000,-10.500,0.000,0.000
10,-10.250,-10.500,-10.000,0.000,0.000
11,-9.750,-10.000,-9.500,0.000,0.000
12,-9.250,-9.500,-9.000,0.000,0.000
13,-8.750,-9.000,-8.500,0.000,0.000
14,-8.250,-8.500,-8.000,0.000,0.000
15,-7.750,-8.000,-7.500,0.000,0.000
16,-7.250,-7.500,-7.000,0.000,0.000
17,-6.750,-7.000,-6.500,0.000,0.000
18,-6.250,-6.500,-6.000,0.001,0.000
19,-5.750,-6.000,-5.500,0.002,0.000
20,-5.250,-5.500,-5.000,0.006,0.001
21,-4.750,-5.000,-4.500,0.026,0.001
22,-4.250,-4.500,-4.000,0.072,0.002
23,-3.750,-4.000,-3.500,0.182,0.004
24,-3.250,-3.500,-3.000,0.373,0.005
25,-2.750,-3.000,-2.500,0.705,0.008
26,-2.250,-2.500,-2.000,1.138,0.010
27,-1.750,-2.000,-1.500,1.691,0.013
28,-1.250,-1.500,-1.000,2.251,0.016
29,-0.750,-1.000,-0.500,2.700,0.019
30,-0.250,-0.500,0.000,3.069,0.022
31,0.250,0.000,0.500,3.366,0.024
32,0.750,0.500,1.000,3.593,0.027
33,1.250,1.000,1.500,3.740,0.029
34,1.750,1.500,2.000,3.828,0.032
35,2.250,2.000,2.500,3.706,0.033
36,2.750,2.500,3.000,3.444,0.033
37,3.250,3.000,3.500,2.939,0.031
38,3.750,3.500,4.000,1.999,0.027
39,4.250,4.000,4.500,0.932,0.020
40,4.750,4.500,5.000,0.115,0.008
41,5.250,5.000,5.500,0.000,0.000
42,5.750,5.500,6.000,0.000,0.000
43,6.250,6.000,6.500,0.000,0.000
44,6.750,6.500,7.000,0.000,0.000
45,7.250,7.000,7.500,0.000,0.000
46,7.750,7.500,8.000,0.000,0.000
47,8.250,8.000,8.500,0.000,0.000
48,8.750,8.500,9.000,0.000,0.000
49,9.250,9.000,9.500,0.000,0.000
50,9.750,9.500,10.000,0.000,0.000
51,10.250,10.000,10.500,0.000,0.000
52,10.750,10.500,11.000,0.000,0.000
53,11.250,11.000,11.500,0.000,0.000
54,11.750,11.500,12.000,0.000,0.000
55,12.250,12.000,12.500,0.000,0.000
56,12.750,12.500,13.000,0.000,0.000
57,13.250,13.000,13.500,0.000,0.000
58,13.750,13.500,14.000,0.000,0.000
59,14.250,14.000,14.500,0.000,0.000
60,14.750,14.500,15.000,0.000,0.000
