# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Missing Momentum, P_{miss} (vertex)   
# xbins      : 30   
# xlabel     :  missing momentum, P_{m} [GeV/c]   
# xbin_width : 0.040 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.020,0.000,0.040,0.000,0.000
2,0.060,0.040,0.080,0.000,0.000
3,0.100,0.080,0.120,0.000,0.000
4,0.140,0.120,0.160,9.382,2.452
5,0.180,0.160,0.200,187.772,8.097
6,0.220,0.200,0.240,327.574,6.810
7,0.260,0.240,0.280,223.602,3.249
8,0.300,0.280,0.320,64.250,0.858
9,0.340,0.320,0.360,23.512,0.138
10,0.380,0.360,0.400,15.377,0.085
11,0.420,0.400,0.440,9.065,0.050
12,0.460,0.440,0.480,5.323,0.029
13,0.500,0.480,0.520,1.358,0.012
14,0.540,0.520,0.560,0.000,0.000
15,0.580,0.560,0.600,0.000,0.000
16,0.620,0.600,0.640,0.000,0.000
17,0.660,0.640,0.680,0.000,0.000
18,0.700,0.680,0.720,0.000,0.000
19,0.740,0.720,0.760,0.000,0.000
20,0.780,0.760,0.800,0.000,0.000
21,0.820,0.800,0.840,0.000,0.000
22,0.860,0.840,0.880,0.000,0.000
23,0.900,0.880,0.920,0.000,0.000
24,0.940,0.920,0.960,0.000,0.000
25,0.980,0.960,1.000,0.000,0.000
26,1.020,1.000,1.040,0.000,0.000
27,1.060,1.040,1.080,0.000,0.000
28,1.100,1.080,1.120,0.000,0.000
29,1.140,1.120,1.160,0.000,0.000
30,1.180,1.160,1.200,0.000,0.000
