# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Final e^{-} Momentum   
# xbins      : 40   
# xlabel     :  e^{-} momentum, k_{f} [GeV/c]   
# xbin_width : 0.045 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,9.023,9.000,9.045,0.000,0.000
2,9.067,9.045,9.090,0.000,0.000
3,9.113,9.090,9.135,0.000,0.000
4,9.157,9.135,9.180,0.000,0.000
5,9.203,9.180,9.225,0.000,0.000
6,9.247,9.225,9.270,0.000,0.000
7,9.293,9.270,9.315,0.000,0.000
8,9.337,9.315,9.360,0.000,0.000
9,9.383,9.360,9.405,0.000,0.000
10,9.427,9.405,9.450,0.000,0.000
11,9.473,9.450,9.495,0.000,0.000
12,9.518,9.495,9.540,0.000,0.000
13,9.562,9.540,9.585,0.000,0.000
14,9.608,9.585,9.630,0.000,0.000
15,9.652,9.630,9.675,0.000,0.000
16,9.698,9.675,9.720,0.000,0.000
17,9.742,9.720,9.765,0.000,0.000
18,9.788,9.765,9.810,0.000,0.000
19,9.832,9.810,9.855,0.003,0.002
20,9.878,9.855,9.900,0.353,0.036
21,9.922,9.900,9.945,7.680,0.763
22,9.968,9.945,9.990,956.587,66.327
23,10.012,9.990,10.035,10274.054,273.501
24,10.058,10.035,10.080,13758.938,358.378
25,10.102,10.080,10.125,13232.029,386.922
26,10.148,10.125,10.170,10971.470,347.786
27,10.192,10.170,10.215,7808.917,295.088
28,10.238,10.215,10.260,3322.261,198.851
29,10.282,10.260,10.305,105.764,52.584
30,10.328,10.305,10.350,0.000,0.000
31,10.373,10.350,10.395,0.000,0.000
32,10.418,10.395,10.440,0.000,0.000
33,10.463,10.440,10.485,0.000,0.000
34,10.508,10.485,10.530,0.000,0.000
35,10.553,10.530,10.575,0.000,0.000
36,10.598,10.575,10.620,0.000,0.000
37,10.643,10.620,10.665,0.000,0.000
38,10.688,10.665,10.710,0.000,0.000
39,10.733,10.710,10.755,0.000,0.000
40,10.777,10.755,10.800,0.000,0.000
