# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : 3-Momentum Transfer, |$\vec{q}$|   
# xbins      : 50   
# xlabel     :  3-momentum transfer, |$\vec{q}$| [GeV]   
# xbin_width : 0.030 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,1.015,1.000,1.030,0.000,0.000
2,1.045,1.030,1.060,0.000,0.000
3,1.075,1.060,1.090,0.000,0.000
4,1.105,1.090,1.120,0.000,0.000
5,1.135,1.120,1.150,0.000,0.000
6,1.165,1.150,1.180,0.000,0.000
7,1.195,1.180,1.210,0.000,0.000
8,1.225,1.210,1.240,0.000,0.000
9,1.255,1.240,1.270,0.000,0.000
10,1.285,1.270,1.300,0.000,0.000
11,1.315,1.300,1.330,0.000,0.000
12,1.345,1.330,1.360,0.000,0.000
13,1.375,1.360,1.390,198.996,68.751
14,1.405,1.390,1.420,1517.481,172.047
15,1.435,1.420,1.450,4570.465,276.556
16,1.465,1.450,1.480,6897.928,327.769
17,1.495,1.480,1.510,8524.169,320.597
18,1.525,1.510,1.540,9346.101,313.460
19,1.555,1.540,1.570,8768.746,273.058
20,1.585,1.570,1.600,7179.281,229.918
21,1.615,1.600,1.630,5002.424,172.833
22,1.645,1.630,1.660,3422.418,126.495
23,1.675,1.660,1.690,2243.432,93.123
24,1.705,1.690,1.720,1323.047,63.334
25,1.735,1.720,1.750,717.950,38.882
26,1.765,1.750,1.780,404.876,25.418
27,1.795,1.780,1.810,186.353,14.706
28,1.825,1.810,1.840,83.614,6.465
29,1.855,1.840,1.870,29.628,2.649
30,1.885,1.870,1.900,12.110,0.897
31,1.915,1.900,1.930,5.496,0.369
32,1.945,1.930,1.960,2.338,0.113
33,1.975,1.960,1.990,0.949,0.030
34,2.005,1.990,2.020,0.299,0.024
35,2.035,2.020,2.050,0.042,0.005
36,2.065,2.050,2.080,0.002,0.001
37,2.095,2.080,2.110,0.000,0.000
38,2.125,2.110,2.140,0.000,0.000
39,2.155,2.140,2.170,0.000,0.000
40,2.185,2.170,2.200,0.000,0.000
41,2.215,2.200,2.230,0.000,0.000
42,2.245,2.230,2.260,0.000,0.000
43,2.275,2.260,2.290,0.000,0.000
44,2.305,2.290,2.320,0.000,0.000
45,2.335,2.320,2.350,0.000,0.000
46,2.365,2.350,2.380,0.000,0.000
47,2.395,2.380,2.410,0.000,0.000
48,2.425,2.410,2.440,0.000,0.000
49,2.455,2.440,2.470,0.000,0.000
50,2.485,2.470,2.500,0.000,0.000
