# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X'_{fp}   
# xbins      : 60   
# xlabel     :  X'_{fp} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.059,-0.060,-0.058,0.000,0.000
2,-0.057,-0.058,-0.056,0.000,0.000
3,-0.055,-0.056,-0.054,0.000,0.000
4,-0.053,-0.054,-0.052,0.000,0.000
5,-0.051,-0.052,-0.050,0.000,0.000
6,-0.049,-0.050,-0.048,0.000,0.000
7,-0.047,-0.048,-0.046,0.000,0.000
8,-0.045,-0.046,-0.044,0.003,0.000
9,-0.043,-0.044,-0.042,0.011,0.001
10,-0.041,-0.042,-0.040,0.041,0.002
11,-0.039,-0.040,-0.038,0.104,0.003
12,-0.037,-0.038,-0.036,0.201,0.005
13,-0.035,-0.036,-0.034,0.315,0.007
14,-0.033,-0.034,-0.032,0.431,0.009
15,-0.031,-0.032,-0.030,0.604,0.011
16,-0.029,-0.030,-0.028,0.826,0.014
17,-0.027,-0.028,-0.026,1.058,0.017
18,-0.025,-0.026,-0.024,1.308,0.020
19,-0.023,-0.024,-0.022,1.722,0.025
20,-0.021,-0.022,-0.020,2.258,0.032
21,-0.019,-0.020,-0.018,2.793,0.041
22,-0.017,-0.018,-0.016,3.512,0.052
23,-0.015,-0.016,-0.014,4.277,0.067
24,-0.013,-0.014,-0.012,5.831,0.096
25,-0.011,-0.012,-0.010,7.545,0.129
26,-0.009,-0.010,-0.008,9.074,0.159
27,-0.007,-0.008,-0.006,11.918,0.227
28,-0.005,-0.006,-0.004,15.360,0.294
29,-0.003,-0.004,-0.002,19.237,0.396
30,-0.001,-0.002,0.000,22.797,0.452
31,0.001,0.000,0.002,24.974,0.514
32,0.003,0.002,0.004,28.611,0.569
33,0.005,0.004,0.006,28.537,0.560
34,0.007,0.006,0.008,29.079,0.583
35,0.009,0.008,0.010,28.216,0.569
36,0.011,0.010,0.012,25.596,0.515
37,0.013,0.012,0.014,21.682,0.454
38,0.015,0.014,0.016,17.916,0.378
39,0.017,0.016,0.018,14.311,0.318
40,0.019,0.018,0.020,10.986,0.234
41,0.021,0.020,0.022,8.012,0.173
42,0.023,0.022,0.024,5.616,0.111
43,0.025,0.024,0.026,3.665,0.068
44,0.027,0.026,0.028,2.515,0.044
45,0.029,0.028,0.030,1.581,0.027
46,0.031,0.030,0.032,0.945,0.017
47,0.033,0.032,0.034,0.536,0.011
48,0.035,0.034,0.036,0.249,0.006
49,0.037,0.036,0.038,0.096,0.003
50,0.039,0.038,0.040,0.024,0.001
51,0.041,0.040,0.042,0.001,0.000
52,0.043,0.042,0.044,0.000,0.000
53,0.045,0.044,0.046,0.000,0.000
54,0.047,0.046,0.048,0.000,0.000
55,0.049,0.048,0.050,0.000,0.000
56,0.051,0.050,0.052,0.000,0.000
57,0.053,0.052,0.054,0.000,0.000
58,0.055,0.054,0.056,0.000,0.000
59,0.057,0.056,0.058,0.000,0.000
60,0.059,0.058,0.060,0.000,0.000
