# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Missing Momentum, P_{miss}   
# xbins      : 40   
# xlabel     :  missing momentum, P_{m} [GeV/c]   
# xbin_width : 0.040 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.000,-0.020,0.020,0.000,0.000
2,0.040,0.020,0.060,0.000,0.000
3,0.080,0.060,0.100,0.000,0.000
4,0.120,0.100,0.140,0.000,0.000
5,0.160,0.140,0.180,0.000,0.000
6,0.200,0.180,0.220,0.100,0.060
7,0.240,0.220,0.260,0.709,0.121
8,0.280,0.260,0.300,2.164,0.154
9,0.320,0.300,0.340,4.400,0.181
10,0.360,0.340,0.380,8.082,0.221
11,0.400,0.380,0.420,13.594,0.270
12,0.440,0.420,0.460,17.814,0.286
13,0.480,0.460,0.500,20.391,0.277
14,0.520,0.500,0.540,20.397,0.245
15,0.560,0.540,0.580,17.498,0.198
16,0.600,0.580,0.620,15.158,0.158
17,0.640,0.620,0.660,11.341,0.115
18,0.680,0.660,0.700,8.499,0.083
19,0.720,0.700,0.740,6.021,0.057
20,0.760,0.740,0.780,4.094,0.039
21,0.800,0.780,0.820,2.768,0.026
22,0.840,0.820,0.860,1.809,0.017
23,0.880,0.860,0.900,1.155,0.011
24,0.920,0.900,0.940,0.705,0.006
25,0.960,0.940,0.980,0.435,0.004
26,1.000,0.980,1.020,0.248,0.002
27,1.040,1.020,1.060,0.138,0.001
28,1.080,1.060,1.100,0.072,0.001
29,1.120,1.100,1.140,0.034,0.000
30,1.160,1.140,1.180,0.015,0.000
31,1.200,1.180,1.220,0.003,0.000
32,1.240,1.220,1.260,0.000,0.000
33,1.280,1.260,1.300,0.000,0.000
34,1.320,1.300,1.340,0.000,0.000
35,1.360,1.340,1.380,0.000,0.000
36,1.400,1.380,1.420,0.000,0.000
37,1.440,1.420,1.460,0.000,0.000
38,1.480,1.460,1.500,0.000,0.000
39,1.520,1.500,1.540,0.000,0.000
40,1.560,1.540,1.580,0.000,0.000
