        
#This file contains combined Reduced Cross Sections from all data sets of the same kinematic bin. pm80 + pm580 (sets 1 and 2) +  pm750 (sets 1, 2 and 3)                                                                                                                                                                                           
#\ xb = th_nq                                                                                                    
#\ yb = pm                                                                        
#relative errors df/f=dsig/sig: kin_syst_tot (kinematic systematics),  norm_syst_tot (constant, norm. syst.)
# current header line: all averaged kinematics are either in GeV or deg : Ei_avg (beam energy), kf_avg(final e- momentum),  the_avg(final e- angle), pf_avg(final proton momentum),
# nu_avg(energy transfer, Ei-kf), Q2_avg(4-momentum transfer, GeV2), q_avg(|qlab|, magnitude of 3-momentum transfer), cthpq_cm_avg(c.o.mass angle between proton and qlab), cphi_avg(out-of-plane angle between proton and qlab)
i_b,i_x,i_y,xb,yb,pm_avg,kin_syst_tot,norm_syst_tot,tot_syst_err,tot_stats_err,tot_err,red_dataXsec_avg,red_dataXsec_avg_err,red_dataXsec_avg_syst_err,red_dataXsec_avg_tot_err,red_pwiaXsec_avg,red_fsiXsec_avg   
91,3,0,35.000000,0.020000,0.031954,0.000000,0.000000,0.000000,0.145715,0.145715,9.019148328448e-07,1.314227556302e-07,0.000000000000e+00,1.314227556302e-07,6.895351274363e-07,6.692939954002e-07
92,3,1,35.000000,0.060000,0.061950,0.000000,0.000000,0.000000,0.045842,0.045842,1.779997786792e-07,8.159951844350e-09,0.000000000000e+00,8.159951844350e-09,1.822607087573e-07,1.742720971087e-07
93,3,2,35.000000,0.100000,0.097625,0.000000,0.000000,0.000000,0.032211,0.032211,3.919147784047e-08,1.262390815599e-09,0.000000000000e+00,1.262390815599e-09,4.039460164017e-08,3.780533058552e-08
94,3,3,35.000000,0.140000,0.136597,0.000000,0.000000,0.000000,0.034406,0.034406,1.080734785360e-08,3.718327809734e-10,0.000000000000e+00,3.718327809734e-10,1.020953963279e-08,9.385459603146e-09
95,3,4,35.000000,0.180000,0.176338,0.000000,0.000000,0.000000,0.053990,0.053990,3.127516765325e-09,1.688551765779e-10,0.000000000000e+00,1.688551765779e-10,3.063317304016e-09,2.802726151102e-09
96,3,5,35.000000,0.220000,0.216224,0.000000,0.000000,0.000000,0.092606,0.092606,1.258669858338e-09,1.165604857566e-10,0.000000000000e+00,1.165604857566e-10,1.065952238350e-09,9.847310465133e-10
97,3,6,35.000000,0.260000,0.254832,0.000000,0.000000,0.000000,0.216423,0.216423,3.594891689339e-10,7.780186494212e-11,0.000000000000e+00,7.780186494212e-11,4.376622610635e-10,4.117287047731e-10
98,3,7,35.000000,0.300000,0.291803,0.000000,0.000000,0.000000,0.599924,0.599924,1.296091335732e-10,7.775561540420e-11,0.000000000000e+00,7.775561540420e-11,2.122319345520e-10,2.035765336929e-10
99,3,8,35.000000,0.340000,nan,0.000000,0.000000,0.000000,nan,0.000000,nan,nan,nan,nan,1.243876289722e-10,1.225752894680e-10
100,3,9,35.000000,0.380000,nan,0.000000,0.000000,0.000000,nan,0.000000,nan,nan,nan,nan,7.645281945853e-08,7.469404638663e-08
101,3,10,35.000000,0.420000,nan,0.000000,0.000000,0.000000,nan,0.000000,nan,nan,nan,nan,1.195960016273e-07,1.168615937522e-07
102,3,11,35.000000,0.460000,0.465095,0.000000,0.000000,0.000000,0.305947,0.305947,1.082671627669e-11,3.312403887637e-12,0.000000000000e+00,3.312403887637e-12,2.336932920978e-07,2.283861087950e-07
103,3,12,35.000000,0.500000,0.501923,0.000000,0.000000,0.000000,0.170191,0.170191,8.591025108484e-12,1.462115039757e-12,0.000000000000e+00,1.462115039757e-12,3.680867945303e-07,3.597713965393e-07
104,3,13,35.000000,0.540000,0.540549,0.000000,0.000000,0.000000,0.140686,0.140686,6.221351784459e-12,8.752590583813e-13,0.000000000000e+00,8.752590583813e-13,5.106790435908e-07,4.991845758445e-07
105,3,14,35.000000,0.580000,0.585726,0.000000,0.000000,0.000000,0.126388,0.126388,5.152155165767e-12,6.511716245515e-13,0.000000000000e+00,6.511716245515e-13,4.342295459504e-07,5.093692312807e-07
106,3,15,35.000000,0.620000,0.622122,0.000000,0.000000,0.000000,0.144284,0.144284,2.946973918844e-12,4.252025998565e-13,0.000000000000e+00,4.252025998565e-13,5.217144388733e-07,5.100031465188e-07
107,3,16,35.000000,0.660000,0.660789,0.000000,0.000000,0.000000,0.114959,0.114959,3.470882921304e-12,3.990100336743e-13,0.000000000000e+00,3.990100336743e-13,5.996145689362e-07,5.861464570616e-07
108,3,17,35.000000,0.700000,0.701312,0.000000,0.000000,0.000000,0.126822,0.126822,2.057205315901e-12,2.608990473146e-13,0.000000000000e+00,2.608990473146e-13,6.660168953098e-07,6.510312486032e-07
109,3,18,35.000000,0.740000,0.740246,0.000000,0.000000,0.000000,0.124876,0.124876,1.538530551276e-12,1.921262573622e-13,0.000000000000e+00,1.921262573622e-13,7.199913975786e-07,7.037469949588e-07
110,3,19,35.000000,0.780000,0.779564,0.000000,0.000000,0.000000,0.126327,0.126327,1.167818872903e-12,1.475266822672e-13,0.000000000000e+00,1.475266822672e-13,7.612185477084e-07,7.439816494280e-07
111,3,20,35.000000,0.820000,0.819135,0.000000,0.000000,0.000000,0.126752,0.126752,9.489523299025e-13,1.202811441008e-13,0.000000000000e+00,1.202811441008e-13,7.896881156788e-07,7.717264662117e-07
112,3,21,35.000000,0.860000,0.858811,0.000000,0.000000,0.000000,0.117593,0.117593,9.614241910735e-13,1.130567446074e-13,0.000000000000e+00,1.130567446074e-13,8.054722547196e-07,7.870536528424e-07
113,3,22,35.000000,0.900000,0.898488,0.000000,0.000000,0.000000,0.126788,0.126788,7.391553120432e-13,9.371629724230e-14,0.000000000000e+00,9.371629724230e-14,8.085570309932e-07,7.899513404134e-07
114,3,23,35.000000,0.940000,0.938206,0.000000,0.000000,0.000000,0.126516,0.126516,7.172523399244e-13,9.074411669916e-14,0.000000000000e+00,9.074411669916e-14,7.987103903751e-07,7.801943548455e-07
115,3,24,35.000000,0.980000,0.978002,0.000000,0.000000,0.000000,0.128427,0.128427,6.696396037741e-13,8.599960454610e-14,0.000000000000e+00,8.599960454610e-14,7.753636646888e-07,7.572283540102e-07
116,3,25,35.000000,1.020000,1.017800,0.000000,0.000000,0.000000,0.146614,0.146614,5.099187214343e-13,7.476106176793e-14,0.000000000000e+00,7.476106176793e-14,7.374831188468e-07,7.200443764790e-07
117,3,26,35.000000,1.060000,1.058380,0.000000,0.000000,0.000000,0.162851,0.162851,4.349333562372e-13,7.082917348548e-14,0.000000000000e+00,7.082917348548e-14,6.834045074588e-07,6.670174154182e-07
118,3,27,35.000000,1.100000,1.097206,0.000000,0.000000,0.000000,0.192289,0.192289,3.257834084628e-13,6.264447360714e-14,0.000000000000e+00,6.264447360714e-14,6.105939876029e-07,5.956731992296e-07
119,3,28,35.000000,1.140000,1.138067,0.000000,0.000000,0.000000,0.174344,0.174344,4.215006334814e-13,7.348597073370e-14,0.000000000000e+00,7.348597073370e-14,7.729160721593e-07,7.534901597748e-07
120,3,29,35.000000,1.180000,1.177987,0.000000,0.000000,0.000000,0.197055,0.197055,3.653124038023e-13,7.198678678857e-14,0.000000000000e+00,7.198678678857e-14,5.877541585168e-07,5.722408514927e-07
