# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X_{fp}   
# xbins      : 60   
# xlabel     :  X_{fp} [cm]   
# xbin_width : 0.833 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.583,-15.000,-14.167,0.000,0.000
2,-13.750,-14.167,-13.333,0.000,0.000
3,-12.917,-13.333,-12.500,0.000,0.000
4,-12.083,-12.500,-11.667,0.000,0.000
5,-11.250,-11.667,-10.833,0.000,0.000
6,-10.417,-10.833,-10.000,0.000,0.000
7,-9.583,-10.000,-9.167,0.000,0.000
8,-8.750,-9.167,-8.333,0.000,0.000
9,-7.917,-8.333,-7.500,0.000,0.000
10,-7.083,-7.500,-6.667,0.000,0.000
11,-6.250,-6.667,-5.833,0.000,0.000
12,-5.417,-5.833,-5.000,0.000,0.000
13,-4.583,-5.000,-4.167,0.000,0.000
14,-3.750,-4.167,-3.333,0.000,0.000
15,-2.917,-3.333,-2.500,0.000,0.000
16,-2.083,-2.500,-1.667,0.000,0.000
17,-1.250,-1.667,-0.833,0.000,0.000
18,-0.417,-0.833,0.000,0.000,0.000
19,0.417,0.000,0.833,0.000,0.000
20,1.250,0.833,1.667,0.000,0.000
21,2.083,1.667,2.500,0.000,0.000
22,2.917,2.500,3.333,0.000,0.000
23,3.750,3.333,4.167,0.000,0.000
24,4.583,4.167,5.000,0.000,0.000
25,5.417,5.000,5.833,0.000,0.000
26,6.250,5.833,6.667,0.000,0.000
27,7.083,6.667,7.500,0.000,0.000
28,7.917,7.500,8.333,0.000,0.000
29,8.750,8.333,9.167,0.000,0.000
30,9.583,9.167,10.000,0.000,0.000
31,10.417,10.000,10.833,0.000,0.000
32,11.250,10.833,11.667,0.247,0.024
33,12.083,11.667,12.500,2.540,0.100
34,12.917,12.500,13.333,8.360,0.235
35,13.750,13.333,14.167,20.171,0.540
36,14.583,14.167,15.000,67.641,5.325
37,15.417,15.000,15.833,344.917,30.001
38,16.250,15.833,16.667,1327.451,99.492
39,17.083,16.667,17.500,3611.515,212.673
40,17.917,17.500,18.333,6524.643,320.951
41,18.750,18.333,19.167,10055.611,456.510
42,19.583,19.167,20.000,12255.651,511.472
43,20.417,20.000,20.833,11723.286,485.072
44,21.250,20.833,21.667,9397.757,393.940
45,22.083,21.667,22.500,6162.421,307.288
46,22.917,22.500,23.333,3465.038,212.104
47,23.750,23.333,24.167,1008.759,91.165
48,24.583,24.167,25.000,141.996,21.409
49,25.417,25.000,25.833,6.841,3.379
50,26.250,25.833,26.667,0.000,0.000
51,27.083,26.667,27.500,0.000,0.000
52,27.917,27.500,28.333,0.000,0.000
53,28.750,28.333,29.167,0.000,0.000
54,29.583,29.167,30.000,0.000,0.000
55,30.417,30.000,30.833,0.000,0.000
56,31.250,30.833,31.667,0.000,0.000
57,32.083,31.667,32.500,0.000,0.000
58,32.917,32.500,33.333,0.000,0.000
59,33.750,33.333,34.167,0.000,0.000
60,34.583,34.167,35.000,0.000,0.000
