# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : cos($\phi_{pq}$) (2D Average) 
# ybins      : 30 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 19 
# xlabel     :  $\theta_{rq}$ [deg] 
# ybin_width : 0.040 
# xbin_width : 10.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     22,         1,         1,             5,         0,        10,        0.02,         0,        0.04,           0,             0
     23,         2,         1,            15,        10,        20,        0.02,         0,        0.04,           0,             0
     24,         3,         1,            25,        20,        30,        0.02,         0,        0.04,           0,             0
     25,         4,         1,            35,        30,        40,        0.02,         0,        0.04,           0,             0
     26,         5,         1,            45,        40,        50,        0.02,         0,        0.04,           0,             0
     27,         6,         1,            55,        50,        60,        0.02,         0,        0.04,           0,             0
     28,         7,         1,            65,        60,        70,        0.02,         0,        0.04,           0,             0
     29,         8,         1,            75,        70,        80,        0.02,         0,        0.04,    0.877285,      0.481554
     30,         9,         1,            85,        80,        90,        0.02,         0,        0.04,    0.689167,     0.0957133
     31,        10,         1,            95,        90,       100,        0.02,         0,        0.04,     0.74512,       0.15541
     32,        11,         1,           105,       100,       110,        0.02,         0,        0.04,    0.844109,      0.542324
     33,        12,         1,           115,       110,       120,        0.02,         0,        0.04,           0,             0
     34,        13,         1,           125,       120,       130,        0.02,         0,        0.04,           0,             0
     35,        14,         1,           135,       130,       140,        0.02,         0,        0.04,           0,             0
     36,        15,         1,           145,       140,       150,        0.02,         0,        0.04,           0,             0
     37,        16,         1,           155,       150,       160,        0.02,         0,        0.04,           0,             0
     38,        17,         1,           165,       160,       170,        0.02,         0,        0.04,           0,             0
     39,        18,         1,           175,       170,       180,        0.02,         0,        0.04,           0,             0
     40,        19,         1,           185,       180,       190,        0.02,         0,        0.04,           0,             0
     43,         1,         2,             5,         0,        10,        0.06,      0.04,        0.08,           0,             0
     44,         2,         2,            15,        10,        20,        0.06,      0.04,        0.08,           0,             0
     45,         3,         2,            25,        20,        30,        0.06,      0.04,        0.08,           0,             0
     46,         4,         2,            35,        30,        40,        0.06,      0.04,        0.08,           0,             0
     47,         5,         2,            45,        40,        50,        0.06,      0.04,        0.08,           0,             0
     48,         6,         2,            55,        50,        60,        0.06,      0.04,        0.08,           0,             0
     49,         7,         2,            65,        60,        70,        0.06,      0.04,        0.08,    0.947188,      0.275726
     50,         8,         2,            75,        70,        80,        0.06,      0.04,        0.08,    0.801658,     0.0684149
     51,         9,         2,            85,        80,        90,        0.06,      0.04,        0.08,    0.571594,     0.0423145
     52,        10,         2,            95,        90,       100,        0.06,      0.04,        0.08,    0.586841,     0.0892762
     53,        11,         2,           105,       100,       110,        0.06,      0.04,        0.08,    0.745106,      0.245433
     54,        12,         2,           115,       110,       120,        0.06,      0.04,        0.08,    0.870861,      0.577317
     55,        13,         2,           125,       120,       130,        0.06,      0.04,        0.08,    0.856451,       0.73408
     56,        14,         2,           135,       130,       140,        0.06,      0.04,        0.08,           0,             0
     57,        15,         2,           145,       140,       150,        0.06,      0.04,        0.08,    0.894056,       1.26439
     58,        16,         2,           155,       150,       160,        0.06,      0.04,        0.08,           0,             0
     59,        17,         2,           165,       160,       170,        0.06,      0.04,        0.08,           0,             0
     60,        18,         2,           175,       170,       180,        0.06,      0.04,        0.08,           0,             0
     61,        19,         2,           185,       180,       190,        0.06,      0.04,        0.08,           0,             0
     64,         1,         3,             5,         0,        10,         0.1,      0.08,        0.12,           0,             0
     65,         2,         3,            15,        10,        20,         0.1,      0.08,        0.12,           0,             0
     66,         3,         3,            25,        20,        30,         0.1,      0.08,        0.12,           0,             0
     67,         4,         3,            35,        30,        40,         0.1,      0.08,        0.12,    0.776185,       1.09769
     68,         5,         3,            45,        40,        50,         0.1,      0.08,        0.12,           0,             0
     69,         6,         3,            55,        50,        60,         0.1,      0.08,        0.12,    0.925374,      0.142879
     70,         7,         3,            65,        60,        70,         0.1,      0.08,        0.12,    0.875156,     0.0506572
     71,         8,         3,            75,        70,        80,         0.1,      0.08,        0.12,    0.669152,     0.0255131
     72,         9,         3,            85,        80,        90,         0.1,      0.08,        0.12,    0.457009,     0.0269532
     73,        10,         3,            95,        90,       100,         0.1,      0.08,        0.12,    0.486376,     0.0808316
     74,        11,         3,           105,       100,       110,         0.1,      0.08,        0.12,    0.444855,      0.226146
     75,        12,         3,           115,       110,       120,         0.1,      0.08,        0.12,    0.379463,      0.242823
     76,        13,         3,           125,       120,       130,         0.1,      0.08,        0.12,    0.948585,        1.3415
     77,        14,         3,           135,       130,       140,         0.1,      0.08,        0.12,    0.819346,       0.82327
     78,        15,         3,           145,       140,       150,         0.1,      0.08,        0.12,    0.740812,      0.755543
     79,        16,         3,           155,       150,       160,         0.1,      0.08,        0.12,   -0.968551,       1.36974
     80,        17,         3,           165,       160,       170,         0.1,      0.08,        0.12,           0,             0
     81,        18,         3,           175,       170,       180,         0.1,      0.08,        0.12,           0,             0
     82,        19,         3,           185,       180,       190,         0.1,      0.08,        0.12,           0,             0
     85,         1,         4,             5,         0,        10,        0.14,      0.12,        0.16,           0,             0
     86,         2,         4,            15,        10,        20,        0.14,      0.12,        0.16,    0.617642,       0.57131
     87,         3,         4,            25,        20,        30,        0.14,      0.12,        0.16,    0.876463,      0.494513
     88,         4,         4,            35,        30,        40,        0.14,      0.12,        0.16,    0.768006,      0.263497
     89,         5,         4,            45,        40,        50,        0.14,      0.12,        0.16,    0.871802,      0.119094
     90,         6,         4,            55,        50,        60,        0.14,      0.12,        0.16,    0.882242,     0.0421944
     91,         7,         4,            65,        60,        70,        0.14,      0.12,        0.16,    0.775392,     0.0218921
     92,         8,         4,            75,        70,        80,        0.14,      0.12,        0.16,    0.548189,     0.0172603
     93,         9,         4,            85,        80,        90,        0.14,      0.12,        0.16,    0.414793,     0.0331649
     94,        10,         4,            95,        90,       100,        0.14,      0.12,        0.16,    0.347165,      0.100371
     95,        11,         4,           105,       100,       110,        0.14,      0.12,        0.16,  0.00825035,      0.191336
     96,        12,         4,           115,       110,       120,        0.14,      0.12,        0.16,    0.562342,       0.66925
     97,        13,         4,           125,       120,       130,        0.14,      0.12,        0.16,    0.938594,       1.32737
     98,        14,         4,           135,       130,       140,        0.14,      0.12,        0.16,    0.555871,      0.671829
     99,        15,         4,           145,       140,       150,        0.14,      0.12,        0.16,           0,             0
    100,        16,         4,           155,       150,       160,        0.14,      0.12,        0.16,           0,             0
    101,        17,         4,           165,       160,       170,        0.14,      0.12,        0.16,           0,             0
    102,        18,         4,           175,       170,       180,        0.14,      0.12,        0.16,           0,             0
    103,        19,         4,           185,       180,       190,        0.14,      0.12,        0.16,           0,             0
    106,         1,         5,             5,         0,        10,        0.18,      0.16,         0.2,           0,             0
    107,         2,         5,            15,        10,        20,        0.18,      0.16,         0.2,    0.893777,      0.551095
    108,         3,         5,            25,        20,        30,        0.18,      0.16,         0.2,    0.681918,      0.263796
    109,         4,         5,            35,        30,        40,        0.18,      0.16,         0.2,    0.880763,      0.109181
