# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : $\theta_{pq}$ (2D Average) 
# ybins      : 15 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 10 
# xlabel     :  $\theta_{rq}$ [deg] 
# ybin_width : 0.080 
# xbin_width : 20.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     13,         1,         1,            10,         0,        20,        0.04,         0,        0.08,    0.349072,     0.0362963
     14,         2,         1,            30,        20,        40,        0.04,         0,        0.08,     0.83297,     0.0493923
     15,         3,         1,            50,        40,        60,        0.04,         0,        0.08,     1.24854,     0.0570302
     16,         4,         1,            70,        60,        80,        0.04,         0,        0.08,     1.55067,     0.0615197
     17,         5,         1,            90,        80,       100,        0.04,         0,        0.08,     1.64763,     0.0629675
     18,         6,         1,           110,       100,       120,        0.04,         0,        0.08,     1.59931,     0.0609672
     19,         7,         1,           130,       120,       140,        0.04,         0,        0.08,     1.26854,     0.0574244
     20,         8,         1,           150,       140,       160,        0.04,         0,        0.08,    0.811668,     0.0525453
     21,         9,         1,           170,       160,       180,        0.04,         0,        0.08,    0.347071,     0.0414504
     22,        10,         1,           190,       180,       200,        0.04,         0,        0.08,           0,             0
     25,         1,         2,            10,         0,        20,        0.12,      0.08,        0.16,    0.864048,     0.0534292
     26,         2,         2,            30,        20,        40,        0.12,      0.08,        0.16,     2.07722,     0.0659127
     27,         3,         2,            50,        40,        60,        0.12,      0.08,        0.16,     3.10652,     0.0767525
     28,         4,         2,            70,        60,        80,        0.12,      0.08,        0.16,     3.73699,     0.0890717
     29,         5,         2,            90,        80,       100,        0.12,      0.08,        0.16,     3.90761,     0.0924578
     30,         6,         2,           110,       100,       120,        0.12,      0.08,        0.16,     3.65157,      0.084923
     31,         7,         2,           130,       120,       140,        0.12,      0.08,        0.16,      3.0094,     0.0864248
     32,         8,         2,           150,       140,       160,        0.12,      0.08,        0.16,     1.94145,      0.150583
     33,         9,         2,           170,       160,       180,        0.12,      0.08,        0.16,     0.89664,      0.440573
     34,        10,         2,           190,       180,       200,        0.12,      0.08,        0.16,           0,             0
     37,         1,         3,            10,         0,        20,         0.2,      0.16,        0.24,     1.69474,     0.0701977
     38,         2,         3,            30,        20,        40,         0.2,      0.16,        0.24,     3.75076,     0.0754634
     39,         3,         3,            50,        40,        60,         0.2,      0.16,        0.24,     5.51375,       0.10088
     40,         4,         3,            70,        60,        80,         0.2,      0.16,        0.24,     6.66442,      0.120436
     41,         5,         3,            90,        80,       100,         0.2,      0.16,        0.24,      6.8816,      0.128945
     42,         6,         3,           110,       100,       120,         0.2,      0.16,        0.24,     6.21741,      0.125007
     43,         7,         3,           130,       120,       140,         0.2,      0.16,        0.24,     5.16681,      0.190744
     44,         8,         3,           150,       140,       160,         0.2,      0.16,        0.24,     3.64088,       2.58647
     45,         9,         3,           170,       160,       180,         0.2,      0.16,        0.24,           0,             0
     46,        10,         3,           190,       180,       200,         0.2,      0.16,        0.24,           0,             0
     49,         1,         4,            10,         0,        20,        0.28,      0.24,        0.32,     2.60352,     0.0749597
     50,         2,         4,            30,        20,        40,        0.28,      0.24,        0.32,     5.26526,     0.0801381
     51,         3,         4,            50,        40,        60,        0.28,      0.24,        0.32,      7.9741,      0.117912
     52,         4,         4,            70,        60,        80,        0.28,      0.24,        0.32,     9.70989,       0.14067
     53,         5,         4,            90,        80,       100,        0.28,      0.24,        0.32,     9.78722,      0.181732
     54,         6,         4,           110,       100,       120,        0.28,      0.24,        0.32,     8.67391,      0.282288
     55,         7,         4,           130,       120,       140,        0.28,      0.24,        0.32,     7.32494,       1.48362
     56,         8,         4,           150,       140,       160,        0.28,      0.24,        0.32,           0,             0
     57,         9,         4,           170,       160,       180,        0.28,      0.24,        0.32,           0,             0
     58,        10,         4,           190,       180,       200,        0.28,      0.24,        0.32,           0,             0
     61,         1,         5,            10,         0,        20,        0.36,      0.32,         0.4,     3.60786,     0.0813676
     62,         2,         5,            30,        20,        40,        0.36,      0.32,         0.4,     6.84347,     0.0918409
     63,         3,         5,            50,        40,        60,        0.36,      0.32,         0.4,     10.6049,      0.149711
     64,         4,         5,            70,        60,        80,        0.36,      0.32,         0.4,     12.5616,      0.193336
     65,         5,         5,            90,        80,       100,        0.36,      0.32,         0.4,     12.4174,       0.31945
     66,         6,         5,           110,       100,       120,        0.36,      0.32,         0.4,     11.3325,       1.53992
     67,         7,         5,           130,       120,       140,        0.36,      0.32,         0.4,           0,             0
     68,         8,         5,           150,       140,       160,        0.36,      0.32,         0.4,           0,             0
     69,         9,         5,           170,       160,       180,        0.36,      0.32,         0.4,           0,             0
     70,        10,         5,           190,       180,       200,        0.36,      0.32,         0.4,           0,             0
     73,         1,         6,            10,         0,        20,        0.44,       0.4,        0.48,     4.69239,      0.103652
     74,         2,         6,            30,        20,        40,        0.44,       0.4,        0.48,     8.67959,      0.127727
     75,         3,         6,            50,        40,        60,        0.44,       0.4,        0.48,     13.1676,      0.214863
     76,         4,         6,            70,        60,        80,        0.44,       0.4,        0.48,     15.0092,      0.297463
     77,         5,         6,            90,        80,       100,        0.44,       0.4,        0.48,     14.9144,      0.789048
     78,         6,         6,           110,       100,       120,        0.44,       0.4,        0.48,           0,             0
     79,         7,         6,           130,       120,       140,        0.44,       0.4,        0.48,           0,             0
     80,         8,         6,           150,       140,       160,        0.44,       0.4,        0.48,           0,             0
     81,         9,         6,           170,       160,       180,        0.44,       0.4,        0.48,           0,             0
     82,        10,         6,           190,       180,       200,        0.44,       0.4,        0.48,           0,             0
     85,         1,         7,            10,         0,        20,        0.52,      0.48,        0.56,     5.56773,      0.149561
     86,         2,         7,            30,        20,        40,        0.52,      0.48,        0.56,     10.6572,      0.216793
     87,         3,         7,            50,        40,        60,        0.52,      0.48,        0.56,     15.5476,      0.358157
     88,         4,         7,            70,        60,        80,        0.52,      0.48,        0.56,     17.2173,      0.560562
     89,         5,         7,            90,        80,       100,        0.52,      0.48,        0.56,     17.1232,       4.13711
     90,         6,         7,           110,       100,       120,        0.52,      0.48,        0.56,           0,             0
     91,         7,         7,           130,       120,       140,        0.52,      0.48,        0.56,           0,             0
     92,         8,         7,           150,       140,       160,        0.52,      0.48,        0.56,           0,             0
     93,         9,         7,           170,       160,       180,        0.52,      0.48,        0.56,           0,             0
     94,        10,         7,           190,       180,       200,        0.52,      0.48,        0.56,           0,             0
     97,         1,         8,            10,         0,        20,         0.6,      0.56,        0.64,     6.31656,      0.360192
     98,         2,         8,            30,        20,        40,         0.6,      0.56,        0.64,     12.9906,      0.464063
     99,         3,         8,            50,        40,        60,         0.6,      0.56,        0.64,     17.3438,      0.699874
    100,         4,         8,            70,        60,        80,         0.6,      0.56,        0.64,     18.9098,       1.75779
    101,         5,         8,            90,        80,       100,         0.6,      0.56,        0.64,           0,             0
    102,         6,         8,           110,       100,       120,         0.6,      0.56,        0.64,           0,             0
    103,         7,         8,           130,       120,       140,         0.6,      0.56,        0.64,           0,             0
    104,         8,         8,           150,       140,       160,         0.6,      0.56,        0.64,           0,             0
    105,         9,         8,           170,       160,       180,         0.6,      0.56,        0.64,           0,             0
    106,        10,         8,           190,       180,       200,         0.6,      0.56,        0.64,           0,             0
    109,         1,         9,            10,         0,        20,        0.68,      0.64,        0.72,     8.71166,       7.11564
    110,         2,         9,            30,        20,        40,        0.68,      0.64,        0.72,     15.6247,       1.35127
    111,         3,         9,            50,        40,        60,        0.68,      0.64,        0.72,     17.8927,       2.16316
    112,         4,         9,            70,        60,        80,        0.68,      0.64,        0.72,           0,             0
    113,         5,         9,            90,        80,       100,        0.68,      0.64,        0.72,           0,             0
    114,         6,         9,           110,       100,       120,        0.68,      0.64,        0.72,           0,             0
    115,         7,         9,           130,       120,       140,        0.68,      0.64,        0.72,           0,             0
    116,         8,         9,           150,       140,       160,        0.68,      0.64,        0.72,           0,             0
    117,         9,         9,           170,       160,       180,        0.68,      0.64,        0.72,           0,             0
    118,        10,         9,           190,       180,       200,        0.68,      0.64,        0.72,           0,             0
    121,         1,        10,            10,         0,        20,        0.76,      0.72,         0.8,           0,             0
    122,         2,        10,            30,        20,        40,        0.76,      0.72,         0.8,     17.7673,       7.47474
    123,         3,        10,            50,        40,        60,        0.76,      0.72,         0.8,           0,             0
    124,         4,        10,            70,        60,        80,        0.76,      0.72,         0.8,           0,             0
    125,         5,        10,            90,        80,       100,        0.76,      0.72,         0.8,           0,             0
    126,         6,        10,           110,       100,       120,        0.76,      0.72,         0.8,           0,             0
    127,         7,        10,           130,       120,       140,        0.76,      0.72,         0.8,           0,             0
    128,         8,        10,           150,       140,       160,        0.76,      0.72,         0.8,           0,             0
    129,         9,        10,           170,       160,       180,        0.76,      0.72,         0.8,           0,             0
    130,        10,        10,           190,       180,       200,        0.76,      0.72,         0.8,           0,             0
    133,         1,        11,            10,         0,        20,        0.84,       0.8,        0.88,           0,             0
    134,         2,        11,            30,        20,        40,        0.84,       0.8,        0.88,           0,             0
    135,         3,        11,            50,        40,        60,        0.84,       0.8,        0.88,           0,             0
    136,         4,        11,            70,        60,        80,        0.84,       0.8,        0.88,           0,             0
    137,         5,        11,            90,        80,       100,        0.84,       0.8,        0.88,           0,             0
    138,         6,        11,           110,       100,       120,        0.84,       0.8,        0.88,           0,             0
    139,         7,        11,           130,       120,       140,        0.84,       0.8,        0.88,           0,             0
    140,         8,        11,           150,       140,       160,        0.84,       0.8,        0.88,           0,             0
    141,         9,        11,           170,       160,       180,        0.84,       0.8,        0.88,           0,             0
    142,        10,        11,           190,       180,       200,        0.84,       0.8,        0.88,           0,             0
    145,         1,        12,            10,         0,        20,        0.92,      0.88,        0.96,           0,             0
    146,         2,        12,            30,        20,        40,        0.92,      0.88,        0.96,           0,             0
    147,         3,        12,            50,        40,        60,        0.92,      0.88,        0.96,           0,             0
    148,         4,        12,            70,        60,        80,        0.92,      0.88,        0.96,           0,             0
    149,         5,        12,            90,        80,       100,        0.92,      0.88,        0.96,           0,             0
    150,         6,        12,           110,       100,       120,        0.92,      0.88,        0.96,           0,             0
    151,         7,        12,           130,       120,       140,        0.92,      0.88,        0.96,           0,             0
    152,         8,        12,           150,       140,       160,        0.92,      0.88,        0.96,           0,             0
    153,         9,        12,           170,       160,       180,        0.92,      0.88,        0.96,           0,             0
    154,        10,        12,           190,       180,       200,        0.92,      0.88,        0.96,           0,             0
    157,         1,        13,            10,         0,        20,           1,      0.96,        1.04,           0,             0
    158,         2,        13,            30,        20,        40,           1,      0.96,        1.04,           0,             0
    159,         3,        13,            50,        40,        60,           1,      0.96,        1.04,           0,             0
    160,         4,        13,            70,        60,        80,           1,      0.96,        1.04,           0,             0
    161,         5,        13,            90,        80,       100,           1,      0.96,        1.04,           0,             0
    162,         6,        13,           110,       100,       120,           1,      0.96,        1.04,           0,             0
    163,         7,        13,           130,       120,       140,           1,      0.96,        1.04,           0,             0
    164,         8,        13,           150,       140,       160,           1,      0.96,        1.04,           0,             0
    165,         9,        13,           170,       160,       180,           1,      0.96,        1.04,           0,             0
    166,        10,        13,           190,       180,       200,           1,      0.96,        1.04,           0,             0
    169,         1,        14,            10,         0,        20,        1.08,      1.04,        1.12,           0,             0
    170,         2,        14,            30,        20,        40,        1.08,      1.04,        1.12,           0,             0
    171,         3,        14,            50,        40,        60,        1.08,      1.04,        1.12,           0,             0
    172,         4,        14,            70,        60,        80,        1.08,      1.04,        1.12,           0,             0
    173,         5,        14,            90,        80,       100,        1.08,      1.04,        1.12,           0,             0
    174,         6,        14,           110,       100,       120,        1.08,      1.04,        1.12,           0,             0
    175,         7,        14,           130,       120,       140,        1.08,      1.04,        1.12,           0,             0
    176,         8,        14,           150,       140,       160,        1.08,      1.04,        1.12,           0,             0
    177,         9,        14,           170,       160,       180,        1.08,      1.04,        1.12,           0,             0
    178,        10,        14,           190,       180,       200,        1.08,      1.04,        1.12,           0,             0
    181,         1,        15,            10,         0,        20,        1.16,      1.12,         1.2,           0,             0
    182,         2,        15,            30,        20,        40,        1.16,      1.12,         1.2,           0,             0
    183,         3,        15,            50,        40,        60,        1.16,      1.12,         1.2,           0,             0
    184,         4,        15,            70,        60,        80,        1.16,      1.12,         1.2,           0,             0
    185,         5,        15,            90,        80,       100,        1.16,      1.12,         1.2,           0,             0
    186,         6,        15,           110,       100,       120,        1.16,      1.12,         1.2,           0,             0
    187,         7,        15,           130,       120,       140,        1.16,      1.12,         1.2,           0,             0
    188,         8,        15,           150,       140,       160,        1.16,      1.12,         1.2,           0,             0
    189,         9,        15,           170,       160,       180,        1.16,      1.12,         1.2,           0,             0
    190,        10,        15,           190,       180,       200,        1.16,      1.12,         1.2,           0,             0
