# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS Y'_{fp}   
# xbins      : 60   
# xlabel     :  Y'_{fp} [rad]   
# xbin_width : 0.003 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.059,-0.060,-0.057,0.000,0.000
2,-0.056,-0.057,-0.055,0.000,0.000
3,-0.053,-0.055,-0.052,0.000,0.000
4,-0.051,-0.052,-0.049,0.000,0.000
5,-0.048,-0.049,-0.047,0.000,0.000
6,-0.045,-0.047,-0.044,0.000,0.000
7,-0.043,-0.044,-0.041,0.000,0.000
8,-0.040,-0.041,-0.039,0.000,0.000
9,-0.037,-0.039,-0.036,0.000,0.000
10,-0.035,-0.036,-0.033,0.000,0.000
11,-0.032,-0.033,-0.031,0.000,0.000
12,-0.029,-0.031,-0.028,0.000,0.000
13,-0.027,-0.028,-0.025,0.721,0.086
14,-0.024,-0.025,-0.023,4.701,0.223
15,-0.021,-0.023,-0.020,9.657,0.323
16,-0.019,-0.020,-0.017,14.834,0.441
17,-0.016,-0.017,-0.015,21.325,0.600
18,-0.013,-0.015,-0.012,28.196,0.778
19,-0.011,-0.012,-0.009,40.562,1.070
20,-0.008,-0.009,-0.007,53.183,1.409
21,-0.005,-0.007,-0.004,76.221,2.001
22,-0.003,-0.004,-0.001,107.835,2.740
23,0.000,-0.001,0.001,139.679,3.710
24,0.003,0.001,0.004,191.661,5.193
25,0.005,0.004,0.007,267.894,7.158
26,0.008,0.007,0.009,379.583,10.270
27,0.011,0.009,0.012,495.640,14.383
28,0.013,0.012,0.015,704.405,21.137
29,0.016,0.015,0.017,874.169,28.828
30,0.019,0.017,0.020,1069.384,41.202
31,0.021,0.020,0.023,549.464,31.968
32,0.024,0.023,0.025,88.370,7.807
33,0.027,0.025,0.028,8.289,0.757
34,0.029,0.028,0.031,0.180,0.075
35,0.032,0.031,0.033,0.000,0.000
36,0.035,0.033,0.036,0.000,0.000
37,0.037,0.036,0.039,0.000,0.000
38,0.040,0.039,0.041,0.000,0.000
39,0.043,0.041,0.044,0.000,0.000
40,0.045,0.044,0.047,0.000,0.000
41,0.048,0.047,0.049,0.000,0.000
42,0.051,0.049,0.052,0.000,0.000
43,0.053,0.052,0.055,0.000,0.000
44,0.056,0.055,0.057,0.000,0.000
45,0.059,0.057,0.060,0.000,0.000
46,0.061,0.060,0.063,0.000,0.000
47,0.064,0.063,0.065,0.000,0.000
48,0.067,0.065,0.068,0.000,0.000
49,0.069,0.068,0.071,0.000,0.000
50,0.072,0.071,0.073,0.000,0.000
51,0.075,0.073,0.076,0.000,0.000
52,0.077,0.076,0.079,0.000,0.000
53,0.080,0.079,0.081,0.000,0.000
54,0.083,0.081,0.084,0.000,0.000
55,0.085,0.084,0.087,0.000,0.000
56,0.088,0.087,0.089,0.000,0.000
57,0.091,0.089,0.092,0.000,0.000
58,0.093,0.092,0.095,0.000,0.000
59,0.096,0.095,0.097,0.000,0.000
60,0.099,0.097,0.100,0.000,0.000
