# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : In-Plane Angle w.r.t +z(lab), $\theta_{q}$   
# xbins      : 50   
# xlabel     :  in-plane recoil angle, $\theta_{q}$   
# xbin_width : 0.600 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,40.300,40.000,40.600,0.000,0.000
2,40.900,40.600,41.200,0.000,0.000
3,41.500,41.200,41.800,0.000,0.000
4,42.100,41.800,42.400,0.000,0.000
5,42.700,42.400,43.000,0.000,0.000
6,43.300,43.000,43.600,0.000,0.000
7,43.900,43.600,44.200,0.000,0.000
8,44.500,44.200,44.800,0.000,0.000
9,45.100,44.800,45.400,0.000,0.000
10,45.700,45.400,46.000,0.000,0.000
11,46.300,46.000,46.600,0.000,0.000
12,46.900,46.600,47.200,0.000,0.000
13,47.500,47.200,47.800,0.000,0.000
14,48.100,47.800,48.400,0.000,0.000
15,48.700,48.400,49.000,0.000,0.000
16,49.300,49.000,49.600,0.000,0.000
17,49.900,49.600,50.200,0.000,0.000
18,50.500,50.200,50.800,0.000,0.000
19,51.100,50.800,51.400,0.146,0.068
20,51.700,51.400,52.000,0.252,0.091
21,52.300,52.000,52.600,0.405,0.122
22,52.900,52.600,53.200,2.245,0.302
23,53.500,53.200,53.800,4.521,0.431
24,54.100,53.800,54.400,10.877,0.720
25,54.700,54.400,55.000,22.005,1.206
26,55.300,55.000,55.600,37.971,1.631
27,55.900,55.600,56.200,83.645,2.971
28,56.500,56.200,56.800,156.135,4.984
29,57.100,56.800,57.400,235.269,6.819
30,57.700,57.400,58.000,328.855,8.902
31,58.300,58.000,58.600,394.989,10.162
32,58.900,58.600,59.200,420.734,11.622
33,59.500,59.200,59.800,446.490,13.387
34,60.100,59.800,60.400,393.872,11.983
35,60.700,60.400,61.000,354.080,11.327
36,61.300,61.000,61.600,292.109,10.648
37,61.900,61.600,62.200,226.645,8.574
38,62.500,62.200,62.800,142.527,6.453
39,63.100,62.800,63.400,45.128,3.167
40,63.700,63.400,64.000,1.122,0.367
41,64.300,64.000,64.600,0.000,0.000
42,64.900,64.600,65.200,0.000,0.000
43,65.500,65.200,65.800,0.000,0.000
44,66.100,65.800,66.400,0.000,0.000
45,66.700,66.400,67.000,0.000,0.000
46,67.300,67.000,67.600,0.000,0.000
47,67.900,67.600,68.200,0.000,0.000
48,68.500,68.200,68.800,0.000,0.000
49,69.100,68.800,69.400,0.000,0.000
50,69.700,69.400,70.000,0.000,0.000
