# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Y'_{fp}   
# xbins      : 60   
# xlabel     :  Y'_{fp} [rad]   
# xbin_width : 0.001 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.039,-0.040,-0.039,0.000,0.000
2,-0.038,-0.039,-0.037,0.000,0.000
3,-0.037,-0.037,-0.036,0.000,0.000
4,-0.035,-0.036,-0.035,0.000,0.000
5,-0.034,-0.035,-0.033,0.000,0.000
6,-0.033,-0.033,-0.032,0.000,0.000
7,-0.031,-0.032,-0.031,0.000,0.000
8,-0.030,-0.031,-0.029,0.000,0.000
9,-0.029,-0.029,-0.028,0.001,0.000
10,-0.027,-0.028,-0.027,0.001,0.000
11,-0.026,-0.027,-0.025,0.003,0.000
12,-0.025,-0.025,-0.024,0.003,0.000
13,-0.023,-0.024,-0.023,0.007,0.001
14,-0.022,-0.023,-0.021,0.010,0.001
15,-0.021,-0.021,-0.020,0.014,0.001
16,-0.019,-0.020,-0.019,0.023,0.001
17,-0.018,-0.019,-0.017,0.032,0.002
18,-0.017,-0.017,-0.016,0.042,0.002
19,-0.015,-0.016,-0.015,0.058,0.003
20,-0.014,-0.015,-0.013,0.072,0.003
21,-0.013,-0.013,-0.012,0.100,0.004
22,-0.011,-0.012,-0.011,0.127,0.004
23,-0.010,-0.011,-0.009,0.174,0.005
24,-0.009,-0.009,-0.008,0.214,0.006
25,-0.007,-0.008,-0.007,0.284,0.007
26,-0.006,-0.007,-0.005,0.382,0.009
27,-0.005,-0.005,-0.004,0.497,0.011
28,-0.003,-0.004,-0.003,0.708,0.014
29,-0.002,-0.003,-0.001,1.016,0.017
30,-0.001,-0.001,0.000,1.428,0.021
31,0.001,0.000,0.001,1.797,0.023
32,0.002,0.001,0.003,1.615,0.022
33,0.003,0.003,0.004,1.196,0.018
34,0.005,0.004,0.005,0.751,0.014
35,0.006,0.005,0.007,0.462,0.009
36,0.007,0.007,0.008,0.316,0.007
37,0.009,0.008,0.009,0.229,0.006
38,0.010,0.009,0.011,0.176,0.005
39,0.011,0.011,0.012,0.134,0.004
40,0.013,0.012,0.013,0.102,0.003
41,0.014,0.013,0.015,0.072,0.003
42,0.015,0.015,0.016,0.058,0.002
43,0.017,0.016,0.017,0.045,0.002
44,0.018,0.017,0.019,0.035,0.002
45,0.019,0.019,0.020,0.027,0.001
46,0.021,0.020,0.021,0.020,0.001
47,0.022,0.021,0.023,0.015,0.001
48,0.023,0.023,0.024,0.013,0.001
49,0.025,0.024,0.025,0.007,0.001
50,0.026,0.025,0.027,0.004,0.001
51,0.027,0.027,0.028,0.002,0.000
52,0.029,0.028,0.029,0.001,0.000
53,0.030,0.029,0.031,0.000,0.000
54,0.031,0.031,0.032,0.000,0.000
55,0.033,0.032,0.033,0.000,0.000
56,0.034,0.033,0.035,0.000,0.000
57,0.035,0.035,0.036,0.000,0.000
58,0.037,0.036,0.037,0.000,0.000
59,0.038,0.037,0.039,0.000,0.000
60,0.039,0.039,0.040,0.000,0.000
