# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : In-Plane Angle w.r.t +z(lab), $\theta_{q}$   
# xbins      : 50   
# xlabel     :  in-plane recoil angle, $\theta_{q}$   
# xbin_width : 0.600 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,40.300,40.000,40.600,0.020,0.015
2,40.900,40.600,41.200,0.206,0.062
3,41.500,41.200,41.800,0.615,0.122
4,42.100,41.800,42.400,2.733,0.295
5,42.700,42.400,43.000,6.832,0.555
6,43.300,43.000,43.600,15.264,0.904
7,43.900,43.600,44.200,24.155,1.201
8,44.500,44.200,44.800,41.664,1.784
9,45.100,44.800,45.400,56.600,2.267
10,45.700,45.400,46.000,85.441,3.422
11,46.300,46.000,46.600,101.642,4.164
12,46.900,46.600,47.200,146.225,6.223
13,47.500,47.200,47.800,234.186,11.318
14,48.100,47.800,48.400,328.344,17.151
15,48.700,48.400,49.000,567.676,36.785
16,49.300,49.000,49.600,886.024,67.849
17,49.900,49.600,50.200,1460.122,108.143
18,50.500,50.200,50.800,2134.913,188.952
19,51.100,50.800,51.400,3023.418,279.304
20,51.700,51.400,52.000,3161.193,344.203
21,52.300,52.000,52.600,3233.127,317.772
22,52.900,52.600,53.200,1594.971,135.531
23,53.500,53.200,53.800,698.641,74.524
24,54.100,53.800,54.400,193.890,21.186
25,54.700,54.400,55.000,41.401,4.116
26,55.300,55.000,55.600,5.097,0.499
27,55.900,55.600,56.200,0.129,0.042
28,56.500,56.200,56.800,0.000,0.000
29,57.100,56.800,57.400,0.000,0.000
30,57.700,57.400,58.000,0.000,0.000
31,58.300,58.000,58.600,0.000,0.000
32,58.900,58.600,59.200,0.000,0.000
33,59.500,59.200,59.800,0.000,0.000
34,60.100,59.800,60.400,0.000,0.000
35,60.700,60.400,61.000,0.000,0.000
36,61.300,61.000,61.600,0.000,0.000
37,61.900,61.600,62.200,0.000,0.000
38,62.500,62.200,62.800,0.000,0.000
39,63.100,62.800,63.400,0.000,0.000
40,63.700,63.400,64.000,0.000,0.000
41,64.300,64.000,64.600,0.000,0.000
42,64.900,64.600,65.200,0.000,0.000
43,65.500,65.200,65.800,0.000,0.000
44,66.100,65.800,66.400,0.000,0.000
45,66.700,66.400,67.000,0.000,0.000
46,67.300,67.000,67.600,0.000,0.000
47,67.900,67.600,68.200,0.000,0.000
48,68.500,68.200,68.800,0.000,0.000
49,69.100,68.800,69.400,0.000,0.000
50,69.700,69.400,70.000,0.000,0.000
