# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      : 100   
# xlabel     :  in-plane recoil angle, #theta_{q}   
# xbin_width : 0.500 
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.250,0.000,0.500,0.000,0.000
2,0.750,0.500,1.000,0.000,0.000
3,1.250,1.000,1.500,0.000,0.000
4,1.750,1.500,2.000,0.000,0.000
5,2.250,2.000,2.500,0.000,0.000
6,2.750,2.500,3.000,0.000,0.000
7,3.250,3.000,3.500,0.000,0.000
8,3.750,3.500,4.000,0.000,0.000
9,4.250,4.000,4.500,0.000,0.000
10,4.750,4.500,5.000,0.000,0.000
11,5.250,5.000,5.500,0.000,0.000
12,5.750,5.500,6.000,0.000,0.000
13,6.250,6.000,6.500,0.000,0.000
14,6.750,6.500,7.000,0.000,0.000
15,7.250,7.000,7.500,0.000,0.000
16,7.750,7.500,8.000,0.000,0.000
17,8.250,8.000,8.500,0.000,0.000
18,8.750,8.500,9.000,0.000,0.000
19,9.250,9.000,9.500,0.000,0.000
20,9.750,9.500,10.000,0.000,0.000
21,10.250,10.000,10.500,0.000,0.000
22,10.750,10.500,11.000,0.000,0.000
23,11.250,11.000,11.500,0.000,0.000
24,11.750,11.500,12.000,0.000,0.000
25,12.250,12.000,12.500,0.000,0.000
26,12.750,12.500,13.000,0.000,0.000
27,13.250,13.000,13.500,0.000,0.000
28,13.750,13.500,14.000,0.000,0.000
29,14.250,14.000,14.500,0.000,0.000
30,14.750,14.500,15.000,0.000,0.000
31,15.250,15.000,15.500,0.000,0.000
32,15.750,15.500,16.000,0.000,0.000
33,16.250,16.000,16.500,0.000,0.000
34,16.750,16.500,17.000,0.000,0.000
35,17.250,17.000,17.500,0.000,0.000
36,17.750,17.500,18.000,0.000,0.000
37,18.250,18.000,18.500,0.000,0.000
38,18.750,18.500,19.000,0.000,0.000
39,19.250,19.000,19.500,0.000,0.000
40,19.750,19.500,20.000,0.000,0.000
41,20.250,20.000,20.500,0.000,0.000
42,20.750,20.500,21.000,0.000,0.000
43,21.250,21.000,21.500,0.000,0.000
44,21.750,21.500,22.000,0.000,0.000
45,22.250,22.000,22.500,0.000,0.000
46,22.750,22.500,23.000,0.000,0.000
47,23.250,23.000,23.500,0.000,0.000
48,23.750,23.500,24.000,0.000,0.000
49,24.250,24.000,24.500,0.000,0.000
50,24.750,24.500,25.000,0.000,0.000
51,25.250,25.000,25.500,0.000,0.000
52,25.750,25.500,26.000,0.000,0.000
53,26.250,26.000,26.500,0.000,0.000
54,26.750,26.500,27.000,0.000,0.000
55,27.250,27.000,27.500,0.000,0.000
56,27.750,27.500,28.000,0.000,0.000
57,28.250,28.000,28.500,0.000,0.000
58,28.750,28.500,29.000,0.000,0.000
59,29.250,29.000,29.500,0.000,0.000
60,29.750,29.500,30.000,0.000,0.000
61,30.250,30.000,30.500,0.000,0.000
62,30.750,30.500,31.000,0.000,0.000
63,31.250,31.000,31.500,0.000,0.000
64,31.750,31.500,32.000,0.000,0.000
65,32.250,32.000,32.500,0.000,0.000
66,32.750,32.500,33.000,0.000,0.000
67,33.250,33.000,33.500,0.000,0.000
68,33.750,33.500,34.000,0.000,0.000
69,34.250,34.000,34.500,0.000,0.000
70,34.750,34.500,35.000,0.000,0.000
71,35.250,35.000,35.500,0.000,0.000
72,35.750,35.500,36.000,0.000,0.000
73,36.250,36.000,36.500,0.000,0.000
74,36.750,36.500,37.000,0.000,0.000
75,37.250,37.000,37.500,0.000,0.000
76,37.750,37.500,38.000,28.028,7.897
77,38.250,38.000,38.500,270.602,25.739
78,38.750,38.500,39.000,1001.623,47.671
79,39.250,39.000,39.500,1784.207,59.718
80,39.750,39.500,40.000,2059.133,57.851
81,40.250,40.000,40.500,2010.007,51.742
82,40.750,40.500,41.000,1827.641,44.114
83,41.250,41.000,41.500,1249.478,29.992
84,41.750,41.500,42.000,770.476,18.044
85,42.250,42.000,42.500,400.967,8.801
86,42.750,42.500,43.000,191.095,4.441
87,43.250,43.000,43.500,90.042,1.659
88,43.750,43.500,44.000,45.318,0.759
89,44.250,44.000,44.500,23.075,0.336
90,44.750,44.500,45.000,12.659,0.161
91,45.250,45.000,45.500,7.577,0.080
92,45.750,45.500,46.000,4.797,0.047
93,46.250,46.000,46.500,3.298,0.032
94,46.750,46.500,47.000,2.417,0.024
95,47.250,47.000,47.500,1.787,0.019
96,47.750,47.500,48.000,1.334,0.016
97,48.250,48.000,48.500,0.977,0.013
98,48.750,48.500,49.000,0.697,0.010
99,49.250,49.000,49.500,0.496,0.008
100,49.750,49.500,50.000,0.321,0.006
